Foto, Nimi, Vanus, Reiting, Palk, Reputatsioon, Motivatsioon, Riik
<img src="https://cdn.sofifa.org/players/4/19/181120.png">,Chong Te Se,34,71,4,2,K&otilde;rge,Korea DPR
<img src="https://cdn.sofifa.org/players/4/19/192128.png">,M. Albornoz,27,71,18,1,Madal,Chile
<img src="https://cdn.sofifa.org/players/4/19/200065.png">,A. Nukan,24,71,22,1,K&otilde;rge,Turkey
<img src="https://cdn.sofifa.org/players/4/19/158849.png">,L. Szuka?a,34,71,13,1,Madal,Poland
<img src="https://cdn.sofifa.org/players/4/19/214146.png">,E. Perlaza,29,71,3,1,Keskmine,Colombia
<img src="https://cdn.sofifa.org/players/4/19/215938.png">,M. Dal Hende,27,71,13,1,K&otilde;rge,Denmark
<img src="https://cdn.sofifa.org/players/4/19/230275.png">,Emerson Avintes,26,71,11,1,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/230531.png">,Saberto Botelho,30,71,9,1,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/164484.png">,J. Dahlin,31,71,4,1,Keskmine,Sweden
<img src="https://cdn.sofifa.org/players/4/19/236164.png">,Martin Cordeia,34,71,17,1,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/176772.png">,A. Oukidja,29,71,4,1,Keskmine,Algeria
<img src="https://cdn.sofifa.org/players/4/19/246405.png">,B. Angulo,22,71,0,1,Keskmine,Ecuador
<img src="https://cdn.sofifa.org/players/4/19/189061.png">,S. Burchert,28,71,6,1,Keskmine,Germany
<img src="https://cdn.sofifa.org/players/4/19/222598.png">,N&eacute;lson Monte,22,71,5,1,Keskmine,Portugal
<img src="https://cdn.sofifa.org/players/4/19/214919.png">,D. Rojas,23,71,6,1,Keskmine,Chile
<img src="https://cdn.sofifa.org/players/4/19/229255.png">,Charles,24,71,4,1,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/236935.png">,H. Wolf,19,71,10,1,Keskmine,Austria
<img src="https://cdn.sofifa.org/players/4/19/214409.png">,E. Videla,30,71,8,1,K&otilde;rge,Argentina
<img src="https://cdn.sofifa.org/players/4/19/158089.png">,P. Ledesma,34,71,9,1,Keskmine,Argentina
<img src="https://cdn.sofifa.org/players/4/19/233097.png">,R. van Drongelen,19,71,4,1,Keskmine,Netherlands
<img src="https://cdn.sofifa.org/players/4/19/234889.png">,F. Jensen,20,71,11,1,K&otilde;rge,Finland
<img src="https://cdn.sofifa.org/players/4/19/234122.png">,Artur,22,71,5,1,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/194956.png">,Edgar Costa,31,71,7,1,K&otilde;rge,Portugal
<img src="https://cdn.sofifa.org/players/4/19/214413.png">,S. Mart&iacute;nez,24,71,7,1,K&otilde;rge,Chile
<img src="https://cdn.sofifa.org/players/4/19/215437.png">,D. Fisher,24,71,8,1,K&otilde;rge,England
<img src="https://cdn.sofifa.org/players/4/19/155533.png">,L. Clarke,33,71,10,1,Keskmine,England
<img src="https://cdn.sofifa.org/players/4/19/186253.png">,T. Hubo&#269;an,32,71,23,1,Keskmine,Slovakia
<img src="https://cdn.sofifa.org/players/4/19/190093.png">,Dani Castellano,30,71,7,1,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/190094.png">,Javi Castellano,30,71,7,1,Madal,Spain
<img src="https://cdn.sofifa.org/players/4/19/204687.png">,P. Olkowski,28,71,8,1,Keskmine,Poland
<img src="https://cdn.sofifa.org/players/4/19/150415.png">,M. Caligiuri,34,71,7,1,Madal,Germany
<img src="https://cdn.sofifa.org/players/4/19/236175.png">,Marlion Rolim,26,71,18,1,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/198032.png">,D. Burn,26,71,25,1,Madal,England
<img src="https://cdn.sofifa.org/players/4/19/204688.png">,S. Schwab,27,71,11,1,Keskmine,Austria
<img src="https://cdn.sofifa.org/players/4/19/224656.png">,O. Aina,21,71,16,1,K&otilde;rge,Nigeria
<img src="https://cdn.sofifa.org/players/4/19/225680.png">,A. Mina,27,71,9,1,K&otilde;rge,Ecuador
<img src="https://cdn.sofifa.org/players/4/19/215441.png">,S. Guirassy,22,71,13,1,Madal,France
<img src="https://cdn.sofifa.org/players/4/19/223633.png">,L. Paqarada,23,71,4,1,K&otilde;rge,Kosovo
<img src="https://cdn.sofifa.org/players/4/19/199570.png">,J. S&aacute;nchez,28,71,22,1,Keskmine,Mexico
<img src="https://cdn.sofifa.org/players/4/19/205970.png">,J. Wallace,24,71,9,1,Keskmine,England
<img src="https://cdn.sofifa.org/players/4/19/207762.png">,Jota,25,71,8,1,Keskmine,Portugal
<img src="https://cdn.sofifa.org/players/4/19/224146.png">,Jes&uacute;s Imaz,27,71,6,1,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/189586.png">,Dani Hern&aacute;ndez,32,71,5,1,Keskmine,Venezuela
<img src="https://cdn.sofifa.org/players/4/19/238227.png">,K. Diatta,19,71,7,1,K&otilde;rge,Senegal
<img src="https://cdn.sofifa.org/players/4/19/193683.png">,X. Chavalerin,27,71,11,1,Keskmine,France
<img src="https://cdn.sofifa.org/players/4/19/199060.png">,G. Tzavellas,30,71,9,2,Keskmine,Greece
<img src="https://cdn.sofifa.org/players/4/19/201876.png">,O. Omoijuanfo,24,71,3,1,Keskmine,Norway
<img src="https://cdn.sofifa.org/players/4/19/211348.png">,S. Dimitrievski,24,71,4,1,Keskmine,FYR Macedonia
<img src="https://cdn.sofifa.org/players/4/19/230292.png">,Eltildo Bessa,34,71,15,1,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/193172.png">,B. Marshall,27,71,18,1,Keskmine,England
<img src="https://cdn.sofifa.org/players/4/19/194964.png">,N. Mendez-Laing,26,71,30,1,K&otilde;rge,England
<img src="https://cdn.sofifa.org/players/4/19/202646.png">,&Aacute;lex Mart&iacute;nez,27,71,6,1,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/208790.png">,Z. Bakkali,22,71,11,1,Madal,Belgium
<img src="https://cdn.sofifa.org/players/4/19/162198.png">,G. Gimbert,32,71,6,1,Keskmine,France
<img src="https://cdn.sofifa.org/players/4/19/229782.png">,M. Gaji&#263;,22,71,19,1,Keskmine,Serbia
<img src="https://cdn.sofifa.org/players/4/19/176790.png">,S. Aigner,30,71,6,2,Keskmine,Germany
<img src="https://cdn.sofifa.org/players/4/19/229271.png">,P. K&ouml;pke,22,71,16,1,K&otilde;rge,Germany
<img src="https://cdn.sofifa.org/players/4/19/192663.png">,F. Klos,30,71,11,1,K&otilde;rge,Germany
<img src="https://cdn.sofifa.org/players/4/19/201368.png">,K. McLean,26,71,18,1,K&otilde;rge,Scotland
<img src="https://cdn.sofifa.org/players/4/19/184472.png">,M. Olsson,30,71,17,2,K&otilde;rge,Sweden
<img src="https://cdn.sofifa.org/players/4/19/202905.png">,C. Nyman,25,71,5,1,K&otilde;rge,Sweden
<img src="https://cdn.sofifa.org/players/4/19/228761.png">,O. Estupi&ntilde;&aacute;n,21,71,6,1,Keskmine,Colombia
<img src="https://cdn.sofifa.org/players/4/19/198810.png">,B. Wright,25,71,23,1,Keskmine,Australia
<img src="https://cdn.sofifa.org/players/4/19/220570.png">,J. Bednarek,22,71,22,1,Keskmine,Poland
<img src="https://cdn.sofifa.org/players/4/19/184218.png">,L. Vibe,31,71,9,1,K&otilde;rge,Denmark
<img src="https://cdn.sofifa.org/players/4/19/192922.png">,O. Jim&eacute;nez,29,71,27,1,Keskmine,Mexico
<img src="https://cdn.sofifa.org/players/4/19/201883.png">,Alejandro Rodr&iacute;guez,26,71,12,1,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/180635.png">,T. Elphick,30,71,12,1,K&otilde;rge,England
<img src="https://cdn.sofifa.org/players/4/19/205212.png">,David Ferreiro,30,71,15,1,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/137373.png">,M. Gobbi,37,71,16,2,K&otilde;rge,Italy
<img src="https://cdn.sofifa.org/players/4/19/212381.png">,R. Insigne,24,71,31,1,Keskmine,Italy
<img src="https://cdn.sofifa.org/players/4/19/220061.png">,N. Gy&ouml;mb&eacute;r,25,71,3,1,Keskmine,Slovakia
<img src="https://cdn.sofifa.org/players/4/19/236189.png">,T&uacute;lio Sandoiro,34,71,12,1,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/176029.png">,H&eacute;lder Barbosa,31,71,13,1,K&otilde;rge,Portugal
<img src="https://cdn.sofifa.org/players/4/19/179613.png">,B. Sako,30,71,21,1,K&otilde;rge,Mali
<img src="https://cdn.sofifa.org/players/4/19/51101.png">,M. Domizzi,38,71,3,2,Keskmine,Italy
<img src="https://cdn.sofifa.org/players/4/19/183453.png">,P. Oniangu&eacute;,29,71,14,2,Keskmine,Congo
<img src="https://cdn.sofifa.org/players/4/19/212382.png">,P. Onuachu,24,71,14,1,K&otilde;rge,Nigeria
<img src="https://cdn.sofifa.org/players/4/19/52126.png">,F. Balmont,38,71,7,2,K&otilde;rge,France
<img src="https://cdn.sofifa.org/players/4/19/184990.png">,Anto&ntilde;ito,30,71,12,1,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/194718.png">,A. Baby,29,71,9,1,K&otilde;rge,Senegal
<img src="https://cdn.sofifa.org/players/4/19/215455.png">,B. Petkovi&#263;,23,71,1,1,K&otilde;rge,Croatia
<img src="https://cdn.sofifa.org/players/4/19/193695.png">,N&eacute;lson Lenho,34,71,8,1,Keskmine,Portugal
<img src="https://cdn.sofifa.org/players/4/19/214944.png">,Gumbau,23,71,14,1,Keskmine,Spain
<img src="https://cdn.sofifa.org/players/4/19/220064.png">,C. Aboagye,23,71,12,1,Keskmine,Ghana
<img src="https://cdn.sofifa.org/players/4/19/223136.png">,Y. Erdo?an,25,71,11,1,K&otilde;rge,Turkey
<img src="https://cdn.sofifa.org/players/4/19/164256.png">,Paulinho,32,71,3,1,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/216481.png">,J. Cooper,23,71,8,1,Keskmine,England
<img src="https://cdn.sofifa.org/players/4/19/193185.png">,S. Malone,27,71,24,1,K&otilde;rge,England
<img src="https://cdn.sofifa.org/players/4/19/212130.png">,M. Malo&#269;a,29,71,7,1,K&otilde;rge,Croatia
<img src="https://cdn.sofifa.org/players/4/19/182178.png">,G. Berardi,29,71,25,1,K&otilde;rge,Switzerland
<img src="https://cdn.sofifa.org/players/4/19/201379.png">,Samu Garc&iacute;a,28,71,15,1,Keskmine,Spain
<img src="https://cdn.sofifa.org/players/4/19/177571.png">,T. Derijck,31,71,12,1,K&otilde;rge,Belgium
<img src="https://cdn.sofifa.org/players/4/19/202148.png">,A. Khalili,26,71,10,1,K&otilde;rge,Sweden
<img src="https://cdn.sofifa.org/players/4/19/140196.png">,Y. Endo,38,71,6,3,K&otilde;rge,Japan
<img src="https://cdn.sofifa.org/players/4/19/202149.png">,E. Ka&ccedil;e,24,71,1,1,K&otilde;rge,Albania
<img src="https://cdn.sofifa.org/players/4/19/220837.png">,D. Machado,24,71,11,1,Keskmine,Colombia
<img src="https://cdn.sofifa.org/players/4/19/240037.png">,S. Plav&scaron;i&#263;,22,71,1,1,K&otilde;rge,Serbia
<img src="https://cdn.sofifa.org/players/4/19/205990.png">,H. Reed,23,71,22,1,K&otilde;rge,England
<img src="https://cdn.sofifa.org/players/4/19/219814.png">,S. Klaiber,23,71,9,1,K&otilde;rge,Netherlands
<img src="https://cdn.sofifa.org/players/4/19/224422.png">,J. Boga,21,71,21,1,Keskmine,Ivory Coast
<img src="https://cdn.sofifa.org/players/4/19/194727.png">,D. Contento,28,71,18,2,Keskmine,Germany
<img src="https://cdn.sofifa.org/players/4/19/102056.png">,S. Padoin,34,71,18,2,Keskmine,Italy
<img src="https://cdn.sofifa.org/players/4/19/203177.png">,D. Foulquier,25,71,27,1,Keskmine,France
<img src="https://cdn.sofifa.org/players/4/19/199594.png">,Paco Monta&ntilde;&eacute;s,31,71,7,1,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/206506.png">,T. Dingom&eacute;,27,71,11,1,Keskmine,France
<img src="https://cdn.sofifa.org/players/4/19/211626.png">,D. K?dzior,26,71,1,1,Keskmine,Poland
<img src="https://cdn.sofifa.org/players/4/19/223402.png">,E. Ta?demir,22,71,9,1,K&otilde;rge,Turkey
<img src="https://cdn.sofifa.org/players/4/19/190122.png">,P. Coutts,29,71,10,1,Keskmine,Scotland
<img src="https://cdn.sofifa.org/players/4/19/193706.png">,D. Dumi&#263;,26,71,11,1,K&otilde;rge,Bosnia Herzegovina
<img src="https://cdn.sofifa.org/players/4/19/194730.png">,Juan Carlos,30,71,5,1,Keskmine,Spain
<img src="https://cdn.sofifa.org/players/4/19/187051.png">,S. Privat,28,71,6,1,Keskmine,France
<img src="https://cdn.sofifa.org/players/4/19/231340.png">,G. Montiel,21,71,9,1,K&otilde;rge,Argentina
<img src="https://cdn.sofifa.org/players/4/19/228782.png">,Jo&atilde;o Gamboa,21,71,5,1,Keskmine,Portugal
<img src="https://cdn.sofifa.org/players/4/19/229294.png">,A. Zhirov,27,71,5,1,Madal,Russia
<img src="https://cdn.sofifa.org/players/4/19/203439.png">,M. Tosetti,26,71,10,1,Keskmine,Switzerland
<img src="https://cdn.sofifa.org/players/4/19/230319.png">,Andr&eacute; Milazisco,34,71,7,1,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/201136.png">,M. Colin,26,71,17,1,K&otilde;rge,France
<img src="https://cdn.sofifa.org/players/4/19/200113.png">,F. Jozefzoon,27,71,29,1,Keskmine,Netherlands
<img src="https://cdn.sofifa.org/players/4/19/164529.png">,D. Moor,34,71,5,1,Keskmine,United States
<img src="https://cdn.sofifa.org/players/4/19/124337.png">,A. Turan,34,71,11,1,Madal,Turkey
<img src="https://cdn.sofifa.org/players/4/19/193201.png">,O. Bayram,26,71,29,1,K&otilde;rge,Turkey
<img src="https://cdn.sofifa.org/players/4/19/142258.png">,S. Bossut,32,71,8,1,Keskmine,Belgium
<img src="https://cdn.sofifa.org/players/4/19/211378.png">,J. Irvine,25,71,17,1,K&otilde;rge,Australia
<img src="https://cdn.sofifa.org/players/4/19/213938.png">,D. Biraschi,23,71,9,1,K&otilde;rge,Italy
<img src="https://cdn.sofifa.org/players/4/19/223922.png">,A. Bouchalakis,25,71,1,1,Keskmine,Greece
<img src="https://cdn.sofifa.org/players/4/19/211891.png">,A. Voglsammer,26,71,11,1,K&otilde;rge,Germany
<img src="https://cdn.sofifa.org/players/4/19/221875.png">,Son Jun Ho,26,71,8,1,K&otilde;rge,Korea Republic
<img src="https://cdn.sofifa.org/players/4/19/197300.png">,A. El Said,32,71,23,1,Keskmine,Egypt
<img src="https://cdn.sofifa.org/players/4/19/208052.png">,A. Yiadom,26,71,20,1,K&otilde;rge,Ghana
<img src="https://cdn.sofifa.org/players/4/19/199861.png">,W. Sobota,31,71,12,1,K&otilde;rge,Poland
<img src="https://cdn.sofifa.org/players/4/19/204213.png">,I. Latovlevici,32,71,11,1,Keskmine,Romania
<img src="https://cdn.sofifa.org/players/4/19/159157.png">,B. Leal,36,71,2,1,Keskmine,Chile
<img src="https://cdn.sofifa.org/players/4/19/188597.png">,E. Zelazny,26,71,11,1,Keskmine,France
<img src="https://cdn.sofifa.org/players/4/19/210358.png">,A. Brignoli,26,71,2,1,Keskmine,Italy
<img src="https://cdn.sofifa.org/players/4/19/225206.png">,K. Narey,23,71,9,1,K&otilde;rge,Germany
<img src="https://cdn.sofifa.org/players/4/19/166838.png">,M. Pugh,31,71,35,1,K&otilde;rge,England
<img src="https://cdn.sofifa.org/players/4/19/237238.png">,S. McTominay,21,71,43,1,Keskmine,Scotland
<img src="https://cdn.sofifa.org/players/4/19/220087.png">,Fabr&iacute;cio Baiano,26,71,7,1,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/186551.png">,F. Navarro,29,71,18,1,K&otilde;rge,Mexico
<img src="https://cdn.sofifa.org/players/4/19/230072.png">,R. Baji&#263;,24,71,16,1,K&otilde;rge,Bosnia Herzegovina
<img src="https://cdn.sofifa.org/players/4/19/201145.png">,M. Le Bihan,28,71,22,1,K&otilde;rge,France
<img src="https://cdn.sofifa.org/players/4/19/212409.png">,A. Renter&iacute;a,25,71,8,1,Madal,Colombia
<img src="https://cdn.sofifa.org/players/4/19/223929.png">,A. Leya Iseka,20,71,15,1,Keskmine,Belgium
<img src="https://cdn.sofifa.org/players/4/19/224953.png">,Andr&eacute; Moreira,22,71,17,1,Keskmine,Portugal
<img src="https://cdn.sofifa.org/players/4/19/180409.png">,C. G&uuml;lselam,30,71,9,1,K&otilde;rge,Turkey
<img src="https://cdn.sofifa.org/players/4/19/186553.png">,M. Rodr&iacute;guez,32,71,8,1,K&otilde;rge,Argentina
<img src="https://cdn.sofifa.org/players/4/19/189369.png">,G. Litteri,30,71,4,1,Keskmine,Italy
<img src="https://cdn.sofifa.org/players/4/19/220090.png">,Raphael Rossi,27,71,18,1,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/224442.png">,B. Kamara,21,71,6,1,Keskmine,France
<img src="https://cdn.sofifa.org/players/4/19/233147.png">,R. Oshima,25,71,6,1,Keskmine,Japan
<img src="https://cdn.sofifa.org/players/4/19/172475.png">,L. Bruins,31,71,5,1,Keskmine,Netherlands
<img src="https://cdn.sofifa.org/players/4/19/202940.png">,N. Kebano,26,71,35,1,K&otilde;rge,DR Congo
<img src="https://cdn.sofifa.org/players/4/19/230332.png">,Wiliam Santinho,34,71,13,1,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/207805.png">,L. Sadiku,26,71,9,1,K&otilde;rge,Kosovo
<img src="https://cdn.sofifa.org/players/4/19/224189.png">,Y. Barbet,25,71,23,1,Keskmine,France
<img src="https://cdn.sofifa.org/players/4/19/170941.png">,Javi Moyano,32,71,12,1,K&otilde;rge,Spain
<img src="https://cdn.sofifa.org/players/4/19/188094.png">,J. McLaughlin,29,71,8,1,Keskmine,Scotland
<img src="https://cdn.sofifa.org/players/4/19/198079.png">,M. B&uuml;chel,27,71,10,1,Keskmine,Liechtenstein
<img src="https://cdn.sofifa.org/players/4/19/198335.png">,B. Oviedo,28,71,9,2,K&otilde;rge,Costa Rica
<img src="https://cdn.sofifa.org/players/4/19/213439.png">,J. Osorio,26,71,6,1,K&otilde;rge,Canada
<img src="https://cdn.sofifa.org/players/4/19/230335.png">,Wagner Orsinho,30,71,16,1,K&otilde;rge,Brazil
<img src="https://cdn.sofifa.org/players/4/19/231360.png">,J. El&iacute;as,22,71,8,1,Keskmine,Argentina
<img src="https://cdn.sofifa.org/players/4/19/166080.png">,Evandro,31,71,18,1,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/241856.png">,Manu Morlanes,19,71,9,1,Keskmine,Spain
<img src="https://cdn.sofifa.org/players/4/19/188352.png">,K. Gro&szlig;kreutz,29,71,6,2,K&otilde;rge,Germany
<img src="https://cdn.sofifa.org/players/4/19/158657.png">,T. Kessler,32,71,10,1,Keskmine,Germany
<img src="https://cdn.sofifa.org/players/4/19/182209.png">,M. Beevers,28,71,8,1,Keskmine,England
<img src="https://cdn.sofifa.org/players/4/19/137410.png">,D. Gastaldello,35,71,2,2,Keskmine,Italy
<img src="https://cdn.sofifa.org/players/4/19/211394.png">,P. Farag&ograve;,25,71,18,1,K&otilde;rge,Italy
<img src="https://cdn.sofifa.org/players/4/19/221378.png">,C. Ram&iacute;rez,30,71,2,1,Keskmine,Colombia
<img src="https://cdn.sofifa.org/players/4/19/226754.png">,I. Bennacer,20,71,7,1,Keskmine,Algeria
<img src="https://cdn.sofifa.org/players/4/19/190658.png">,O. Coulibaly,28,71,1,1,K&otilde;rge,Mali
<img src="https://cdn.sofifa.org/players/4/19/220355.png">,Alex Alegr&iacute;a,25,71,15,1,Keskmine,Spain
<img src="https://cdn.sofifa.org/players/4/19/233411.png">,C. Adjapong,20,71,21,1,Keskmine,Italy
<img src="https://cdn.sofifa.org/players/4/19/110019.png">,Dorado,35,71,8,1,Keskmine,Spain
<img src="https://cdn.sofifa.org/players/4/19/138436.png">,J. Walters,34,71,33,2,K&otilde;rge,Republic of Ireland
<img src="https://cdn.sofifa.org/players/4/19/228804.png">,A. De Sart,21,71,6,1,K&otilde;rge,Belgium
<img src="https://cdn.sofifa.org/players/4/19/230340.png">,Luisinho Conradi,30,71,19,1,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/235717.png">,B. &Ouml;zcan,20,71,15,1,Keskmine,Turkey
<img src="https://cdn.sofifa.org/players/4/19/206534.png">,P. Bamford,24,71,25,1,K&otilde;rge,England
<img src="https://cdn.sofifa.org/players/4/19/213446.png">,R. L&oacute;pez,25,71,16,1,K&otilde;rge,Mexico
<img src="https://cdn.sofifa.org/players/4/19/220358.png">,F. Monteseir&iacute;n,23,71,9,1,Madal,Argentina
<img src="https://cdn.sofifa.org/players/4/19/229574.png">,A. Calabresi,22,71,15,1,Keskmine,Italy
<img src="https://cdn.sofifa.org/players/4/19/236998.png">,J. L&eacute;a Siliki,22,71,17,1,Keskmine,France
<img src="https://cdn.sofifa.org/players/4/19/217287.png">,J. De Sart,23,71,8,1,Keskmine,Belgium
<img src="https://cdn.sofifa.org/players/4/19/224967.png">,M. Sylla,24,71,13,1,Keskmine,Senegal
<img src="https://cdn.sofifa.org/players/4/19/205256.png">,K. Boli,27,71,9,1,K&otilde;rge,France
<img src="https://cdn.sofifa.org/players/4/19/221896.png">,D. Avdijaj,21,71,6,1,K&otilde;rge,Kosovo
<img src="https://cdn.sofifa.org/players/4/19/164041.png">,Nauzet,33,71,6,1,Keskmine,Spain
<img src="https://cdn.sofifa.org/players/4/19/187337.png">,G. Molins,29,71,6,1,K&otilde;rge,Sweden
<img src="https://cdn.sofifa.org/players/4/19/200138.png">,M. Hector,25,71,16,1,Keskmine,Jamaica
<img src="https://cdn.sofifa.org/players/4/19/207562.png">,S. Andersson,26,71,21,1,K&otilde;rge,Sweden
<img src="https://cdn.sofifa.org/players/4/19/142794.png">,F. Erpen,35,71,7,1,K&otilde;rge,Argentina
<img src="https://cdn.sofifa.org/players/4/19/214986.png">,F. Meza,28,71,6,1,Madal,Argentina
<img src="https://cdn.sofifa.org/players/4/19/227530.png">,D. Lemos,29,71,10,1,Madal,Argentina
<img src="https://cdn.sofifa.org/players/4/19/168650.png">,Z. Kuzmanovi&#263;,30,71,17,2,Keskmine,Serbia
<img src="https://cdn.sofifa.org/players/4/19/243402.png">,Lisandro Semedo,22,71,6,1,Madal,Portugal
<img src="https://cdn.sofifa.org/players/4/19/222411.png">,J. Prior,22,71,15,1,Keskmine,France
<img src="https://cdn.sofifa.org/players/4/19/224459.png">,V. Salazar,25,71,11,1,K&otilde;rge,Argentina
<img src="https://cdn.sofifa.org/players/4/19/188107.png">,A. Diomande,28,71,7,1,Keskmine,Norway
<img src="https://cdn.sofifa.org/players/4/19/212428.png">,A. Niane,25,71,10,1,Madal,Mali
<img src="https://cdn.sofifa.org/players/4/19/242380.png">,Stephen Eust&aacute;quio,21,71,5,1,Keskmine,Portugal
<img src="https://cdn.sofifa.org/players/4/19/224461.png">,W. Montoya,24,71,14,1,Keskmine,Argentina
<img src="https://cdn.sofifa.org/players/4/19/183245.png">,Kadu,31,71,14,1,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/198350.png">,D. Bentley,24,71,16,1,Keskmine,England
<img src="https://cdn.sofifa.org/players/4/19/215502.png">,B. Dr?gowski,20,71,15,1,Keskmine,Poland
<img src="https://cdn.sofifa.org/players/4/19/229582.png">,G. Mancini,22,71,13,1,Madal,Italy
<img src="https://cdn.sofifa.org/players/4/19/173518.png">,T. Clarke,30,71,9,1,K&otilde;rge,England
<img src="https://cdn.sofifa.org/players/4/19/139727.png">,F. Boeckx,31,71,10,1,Keskmine,Belgium
<img src="https://cdn.sofifa.org/players/4/19/205008.png">,Adryan,23,71,17,1,Madal,Brazil
<img src="https://cdn.sofifa.org/players/4/19/211920.png">,M. Gr&uuml;ttner,32,71,9,1,K&otilde;rge,Germany
<img src="https://cdn.sofifa.org/players/4/19/212944.png">,J. Cevallos,23,71,9,1,Keskmine,Ecuador
<img src="https://cdn.sofifa.org/players/4/19/220624.png">,L. Acosta,23,71,6,1,Keskmine,Argentina
<img src="https://cdn.sofifa.org/players/4/19/236496.png">,M. Guendouzi,19,71,20,1,K&otilde;rge,France
<img src="https://cdn.sofifa.org/players/4/19/238033.png">,F. Nita,30,71,1,1,Keskmine,Romania
<img src="https://cdn.sofifa.org/players/4/19/177105.png">,P. Ebert,31,71,13,1,K&otilde;rge,Germany
<img src="https://cdn.sofifa.org/players/4/19/140498.png">,D. Marshall,33,71,13,1,Keskmine,Scotland
<img src="https://cdn.sofifa.org/players/4/19/210386.png">,K. Peterson,23,71,6,1,K&otilde;rge,Sweden
<img src="https://cdn.sofifa.org/players/4/19/236498.png">,S. Lammers,21,71,8,1,Keskmine,Netherlands
<img src="https://cdn.sofifa.org/players/4/19/186578.png">,A. King,29,71,38,1,Keskmine,Wales
<img src="https://cdn.sofifa.org/players/4/19/216275.png">,P. Mwene,24,71,13,1,K&otilde;rge,Austria
<img src="https://cdn.sofifa.org/players/4/19/226515.png">,Andrei Girotto,26,71,15,1,Madal,Brazil
<img src="https://cdn.sofifa.org/players/4/19/167379.png">,Danilo Silva,31,71,15,1,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/225236.png">,B. Kuscevic,22,71,6,1,Keskmine,Chile
<img src="https://cdn.sofifa.org/players/4/19/232148.png">,D. Sall&oacute;i,21,71,5,1,K&otilde;rge,Hungary
<img src="https://cdn.sofifa.org/players/4/19/169941.png">,Ukra,30,71,5,1,Keskmine,Portugal
<img src="https://cdn.sofifa.org/players/4/19/213718.png">,B. Acosta,31,71,4,1,K&otilde;rge,Costa Rica
<img src="https://cdn.sofifa.org/players/4/19/230358.png">,Tramontinaldo,34,71,9,1,Keskmine,Brazil
<img src="https://cdn.sofifa.org/players/4/19/234966.png">,S. Hern&aacute;ndez,31,71,3,1,Madal,Colombia
<img src="https://cdn.sofifa.org/players/4/19/199895.png">,L. Lacroix,26,71,17,1,Keskmine,Switzerland
<img src="https://cdn.sofifa.org/players/4/19/217047.png">,A. Godoy,28,71,6,1,Keskmine,Panama
<img src="https://cdn.sofifa.org/players/4/19/186839.png">,N. McGinn,30,71,6,1,Keskmine,Northern Ireland
<img src="https://cdn.sofifa.org/players/4/19/211672.png">,T. Boyd,23,71,6,1,Keskmine,New Zealand
<img src="https://cdn.sofifa.org/players/4/19/153048.png">,M. Eikrem,27,71,6,1,Madal,Norway
<img src="https://cdn.sofifa.org/players/4/19/221912.png">,Kang Hyeon Mu,23,71,4,1,Keskmine,Korea Republic
<img src="https://cdn.sofifa.org/players/4/19/231128.png">,H. Toledo,22,71,9,1,Madal,Argentina
<img src="https://cdn.sofifa.org/players/4/19/169432.png">,M. Lacen,34,71,7,2,K&otilde;rge,Algeria
<img src="https://cdn.sofifa.org/players/4/19/190424.png">,E. Adu,27,71,7,1,Madal,Ghana
<img src="https://cdn.sofifa.org/players/4/19/205529.png">,L. Antei,26,71,4,1,Keskmine,Italy
<img src="https://cdn.sofifa.org/players/4/19/198874.png">,Adriano,30,71,9,2,Madal,Brazil
<img src="https://cdn.sofifa.org/players/4/19/202458.png">,N. Foor,26,71,10,1,K&otilde;rge,Netherlands
<img src="https://cdn.sofifa.org/players/4/19/234458.png">,C. Quintana,30,71,10,1,Madal,Argentina
<img src="https://cdn.sofifa.org/players/4/19/235226.png">,&Acirc;ngelo Neto,26,71,5,1,Keskmine,Brazil
